OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
63,-94.92042976,29.22561682,five,20,1,Very Stiff,0,45.20169206,1.4719561,55,2.1489543,0.54040927,0.65547572,324.02641,45.239757,3.0655591
64,-94.92029842,29.22586463,five,20,1,Very Stiff,0,10.20169511,1.4719561,55,2.1489543,0.54040927,0.65547572,324.02641,45.239757,3.0655591
65,-94.92011581,29.22580393,five,20,1,Very Stiff,0,36.94394313,1.4719561,55,2.1489543,0.54040927,0.65547572,324.02641,45.239757,3.0655591
66,-94.91995156,29.22591497,five,20,1,Very Stiff,0,20.37423561,1.2393435,22.762288,2.1828518,0.50763941,0.51697696,334.27869,45.014727,3.0737804
67,-94.91998218,29.22604234,five,20,1,Very Stiff,0,1.815495028,1.2393435,22.762288,2.1828518,0.50763941,0.51697696,334.27869,45.014727,3.0737804
68,-94.91978396,29.22601375,five,20,1,Very Stiff,0,10.22393647,1.2393435,22.762288,2.1828518,0.50763941,0.51697696,334.27869,45.014727,3.0737804
69,-94.91979177,29.2261668,five,20,1,Very Stiff,0,9.493584797,1.2393435,22.762288,2.1828518,0.50763941,0.51697696,334.27869,45.014727,3.0737804
70,-94.91963753,29.22631184,five,20,1,Very Stiff,0,8.640867883,1.2635037,13.099901,2.015339,0.47400548,0.5613486,321.30434,44.827966,3.0647656
71,-94.92162559,29.22558522,five,20,1,Very Stiff,0,33.50855892,1.2166661,44.104625,2.0559579,0.47462189,0.71263897,345.67554,44.994899,3.0578784
72,-94.92147094,29.22580421,five,20,1,Very Stiff,0,62.55495279,1.2166661,44.104625,2.0559579,0.47462189,0.71263897,345.67554,44.994899,3.0578784
73,-94.92185824,29.22580301,five,20,1,Very Stiff,0,25.45198034,1.2166661,44.104625,2.0559579,0.47462189,0.71263897,345.67554,44.994899,3.0578784
74,-94.92207996,29.22600268,five,20,1,Very Stiff,0,40.39131311,1.2166661,44.104625,2.0559579,0.47462189,0.71263897,345.67554,44.994899,3.0578784
75,-94.92202703,29.22629233,five,20,1,Very Stiff,0,47.70676867,0.27724579,2.2720533,0.5813359,0.11007644,0.16144151,129.51171,39.801807,1.1504716
76,-94.92232193,29.22666654,five,20,1,Very Stiff,0,27.42569309,0.11728611,1.0727663,1.7351374,0.074407414,0.17785292,161.06076,38.869674,1.4608373
77,-94.92257854,29.22656652,five,20,1,Very Stiff,0,33.63740173,0.11728611,1.0727663,1.7351374,0.074407414,0.17785292,161.06076,38.869674,1.4608373
78,-94.922679,29.22672986,five,20,1,Very Stiff,0,5.66400184,0.11728611,1.0727663,1.7351374,0.074407414,0.17785292,161.06076,38.869674,1.4608373
79,-94.92212772,29.22678674,five,20,1,Very Stiff,0,49.80779325,0.11728611,1.0727663,1.7351374,0.074407414,0.17785292,161.06076,38.869674,1.4608373
80,-94.92143125,29.22721624,five,20,1,Very Stiff,0,65.90385673,0,0,0,0,0,0,38.78598,0
81,-94.92094918,29.22750947,five,20,1,Very Stiff,0,44.33990767,0.31681879,2.5971446,0.90391496,0.12616213,0.23619646,166.86436,40.039707,1.4851679
82,-94.92063833,29.22770331,five,20,1,Very Stiff,0,30.80766637,0.31681879,2.5971446,0.90391496,0.12616213,0.23619646,166.86436,40.039707,1.4851679
83,-94.92072633,29.22781376,five,20,1,Very Stiff,0,12.17356364,0.31681879,2.5971446,0.90391496,0.12616213,0.23619646,166.86436,40.039707,1.4851679
84,-94.92048664,29.22779405,five,20,1,Very Stiff,0,15.87122417,0.31681879,2.5971446,0.90391496,0.12616213,0.23619646,166.86436,40.039707,1.4851679
85,-94.92035451,29.22787584,five,20,1,Very Stiff,0,13.9999816,0.31681879,2.5971446,0.90391496,0.12616213,0.23619646,166.86436,40.039707,1.4851679
86,-94.9208551,29.22797326,five,20,1,Very Stiff,0,7.231464498,0.31681879,2.5971446,0.90391496,0.12616213,0.23619646,166.86436,40.039707,1.4851679
87,-94.92191328,29.22777762,five,20,1,Very Stiff,0,9.600069703,0,0,0,0,0,0,38.78598,0
88,-94.92191634,29.22802516,five,20,1,Very Stiff,0,15.88692284,0.91107089,4.5805887,3.3541184,0.43001796,0.3787327,305.19896,41.797088,3.0273389
89,-94.92208441,29.22796865,five,20,1,Very Stiff,0,18.98939911,0,0,0,0,0,0,38.78598,0
90,-94.92202825,29.22839616,five,20,1,Very Stiff,0,81.64476734,0.91107089,4.5805887,3.3541184,0.43001796,0.3787327,305.19896,41.797088,3.0273389
91,-94.921685,29.22844337,five,20,1,Very Stiff,0,60.53585331,0.91107089,4.5805887,3.3541184,0.43001796,0.3787327,305.19896,41.797088,3.0273389
92,-94.92150234,29.22834645,five,20,1,Very Stiff,0,10.2105191,0.91107089,4.5805887,3.3541184,0.43001796,0.3787327,305.19896,41.797088,3.0273389
93,-94.92112712,29.22852154,five,20,1,Very Stiff,0,31.15573467,0.91107089,4.5805887,3.3541184,0.43001796,0.3787327,305.19896,41.797088,3.0273389
94,-94.92303018,29.22803088,five,20,1,Very Stiff,0,76.32322097,0.64070962,3.7045956,3.5305426,0.35078028,0.35260469,314.12302,40.421417,3.1000886
95,-94.92031543,29.22801911,five,20,1,Very Stiff,0,15.51007941,0.59451197,3.6647804,2.6145395,0.28874596,0.35944737,234.20807,40.740562,2.2800194
96,-94.92027776,29.22775685,five,20,1,Very Stiff,0,25.27308495,0.31681879,2.5971446,0.90391496,0.12616213,0.23619646,166.86436,40.039707,1.4851679
97,-94.91990471,29.22729396,five,20,1,Very Stiff,0,27.47069899,1.25488,11.071391,2.6317645,0.42288782,0.44884763,256.23652,43.519458,3.0569578
98,-94.91978808,29.22736057,five,20,1,Very Stiff,0,26.98700833,1.25488,11.071391,2.6317645,0.42288782,0.44884763,256.23652,43.519458,3.0569578
99,-94.91966721,29.22727966,five,20,1,Very Stiff,0,6.760891302,1.25488,11.071391,2.6317645,0.42288782,0.44884763,256.23652,43.519458,3.0569578
100,-94.91954299,29.22751056,five,20,1,Very Stiff,0,13.70504019,1.25488,11.071391,2.6317645,0.42288782,0.44884763,256.23652,43.519458,3.0569578
101,-94.92016315,29.22829675,five,20,1,Very Stiff,0,10.11715853,0.59451197,3.6647804,2.6145395,0.28874596,0.35944737,234.20807,40.740562,2.2800194
102,-94.92025872,29.22843536,five,20,1,Very Stiff,0,11.12481696,0.59451197,3.6647804,2.6145395,0.28874596,0.35944737,234.20807,40.740562,2.2800194
103,-94.92036035,29.22862354,five,20,1,Very Stiff,0,5.746697871,0.59451197,3.6647804,2.6145395,0.28874596,0.35944737,234.20807,40.740562,2.2800194
104,-94.920079,29.22816866,five,20,1,Very Stiff,0,26.28262694,0.59451197,3.6647804,2.6145395,0.28874596,0.35944737,234.20807,40.740562,2.2800194
105,-94.91993016,29.22825093,five,20,1,Very Stiff,0,24.93255705,0.87084293,4.639993,3.6205856,0.37175315,0.55464163,319.09485,42.160154,3.0805493
106,-94.91963312,29.22843852,five,20,1,Very Stiff,0,34.14087804,0.87084293,4.639993,3.6205856,0.37175315,0.55464163,319.09485,42.160154,3.0805493
107,-94.91932017,29.22872346,five,20,1,Very Stiff,0,26.28007838,0.87084293,4.639993,3.6205856,0.37175315,0.55464163,319.09485,42.160154,3.0805493
108,-94.91947479,29.22902028,five,20,1,Very Stiff,0,8.750766017,1.8079925,9.2861639,3.6071273,0.69552665,1.0897581,321.71404,45.290523,3.0984122
109,-94.91922611,29.23040084,five,20,1,Very Stiff,0,51.62889048,1.672017,9.5659294,3.6123208,0.70426204,0.83287236,328.46452,45.337196,3.1021197
