,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_PrePole
50,4733,-95.08670803,29.11312739,,,2,196.5010106,POINT (-10585003.919108277 3390052.511186497),0.04
51,4735,-95.08575028,29.11311336,,,2,210.8330195,POINT (-10584897.30286597 3390050.723521996),0.04
52,4737,-95.08482031,29.11303586,,,2,208.5155159,POINT (-10584793.779079117 3390040.848686843),0.04
53,4739,-95.08388331,29.11304781,,,2,204.5253024,POINT (-10584689.472716244 3390042.3713222304),0.04
54,4746,-95.08288564,29.11323413,,,2,156.6482711,POINT (-10584578.412599863 3390066.1117154215),0.04
55,4750,-95.08208595,29.1135368,,,2,166.291537,POINT (-10584489.391516272 3390104.677204274),0.04
56,4751,-95.0813062,29.11400297,,,2,156.9072794,POINT (-10584402.590143325 3390164.0756947543),0.04
57,4756,-95.0803855,29.11464115,,,2,206.520098,POINT (-10584300.098288152 3390245.39180713),0.04
58,4759,-95.07946053,29.11527924,,,2,206.8755303,POINT (-10584197.131098753 3390326.696956135),0.04
59,4760,-95.07853666,29.11592065,,,2,206.5365181,POINT (-10584094.286360793 3390408.425646333),0.04
60,4762,-95.07761474,29.11656018,,,2,206.2081099,POINT (-10583991.658695843 3390489.915293602),0.04
61,4763,-95.07669378,29.11719642,,,2,206.4950502,POINT (-10583889.1378976 3390570.9862279994),0.04
62,4769,-95.07576931,29.11784117,,,2,205.0101104,POINT (-10583786.226367947 3390653.142034632),0.04
63,4771,-95.07486171,29.11848438,,,2,182.9234032,POINT (-10583685.192798102 3390735.1021233615),0.04
64,4773,-95.0741346,29.11898623,,,2,167.7156641,POINT (-10583604.251283152 3390799.049977822),0.04
65,4775,-95.07336279,29.11951342,,,2,164.7966803,POINT (-10583518.333786963 3390866.2270985357),0.04
66,4777,-95.07266189,29.12002013,,,2,163.8282681,POINT (-10583440.309955867 3390930.794882282),0.04
67,4779,-95.07189869,29.12053258,,,2,150.1763796,POINT (-10583355.350920493 3390996.094412011),0.04
68,4782,-95.0711815,29.12104002,,,2,138.1937322,POINT (-10583275.51369489 3391060.755857327),0.04
69,4784,-95.07044333,29.12155189,,,2,165.3138552,POINT (-10583193.340986371 3391125.98212649),0.04
70,4786,-95.06970409,29.12206291,,,2,139.1197796,POINT (-10583111.049165998 3391191.100406171),0.04
71,4788,-95.0689488,29.12258679,,,2,165.2068931,POINT (-10583026.970667796 3391257.8577463864),0.04
72,4796,-95.06820416,29.12310144,,,2,167.5984441,POINT (-10582944.077722171 3391323.4392509484),0.04
73,4797,-95.06745102,29.12363328,,,2,162.5014702,POINT (-10582860.238560874 3391391.2116105016),0.04
74,4800,-95.0667519,29.12411153,,,2,152.9651663,POINT (-10582782.412878472 3391452.1552968198),0.04
75,4803,-95.06608389,29.12456677,,,2,145.0241766,POINT (-10582708.050345428 3391510.1670682346),0.04
76,4836,-95.0655088,29.12495159,,,2,126.6772033,POINT (-10582644.031619469 3391559.205336089),0.04
77,4839,-95.0649517,29.12533755,,,2,125.3379815,POINT (-10582582.015531147 3391608.3890604074),0.04
78,4842,-95.06438854,29.12570603,,,2,149.379977,POINT (-10582519.324846711 3391655.3454424627),0.04
79,4844,-95.06361639,29.12620484,,,2,165.9271271,POINT (-10582433.369501896 3391718.9103895575),0.04
