,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_Pole_VS,Pf_Pole_S,Pf_Pole_M
14765,15119,-94.80590101,29.28825389,4,40,1,13.47722032,POINT (-10553744.6246307 3412385.7033195007),0.014316376,0.017401221,0.028733758
14766,15120,-94.80577021,29.28829387,4,40,1,17.24155257,POINT (-10553730.064041305 3412390.806173586),0.014787105,0.017957426,0.02974493
14767,15121,-94.80511906,29.2884761,3,60,1,12.23349787,POINT (-10553657.578354875 3412414.0651558647),0.015653179,0.017438411,0.023739564
14768,15122,-94.80513384,29.28851186,3,60,1,28.2500212,POINT (-10553659.223656949 3412418.629399369),0.0141501,0.015751007,0.021226007
14769,15123,-94.80858085,29.27881696,4,40,1,6.903408166,POINT (-10554042.943054907 3411181.27502158),0.016125472,0.019483235,0.032003271
14770,15124,-94.80801292,29.28083279,4,40,1,3.739431137,POINT (-10553979.721376501 3411438.5445491485),0.018219123,0.02213925,0.037461346
14771,15125,-94.80900818,29.2780128,3,40,1,16.891892,POINT (-10554090.51321291 3411078.6458273283),0.012685755,0.014728098,0.02497331
14772,15126,-94.80885767,29.27805189,3,40,1,16.69262887,POINT (-10554073.758516349 3411083.6345860153),0.012663333,0.014702105,0.024922638
14773,15127,-94.80916009,29.27797405,3,40,1,18.00887305,POINT (-10554107.423756756 3411073.7004621327),0.012812215,0.014874736,0.025259369
14774,15128,-94.80870935,29.278096,3,40,1,30.99024488,POINT (-10554057.247609476 3411089.264011323),0.014382998,0.01670158,0.028847998
14775,15129,-94.80875383,29.2780263,3,40,1,2.505515194,POINT (-10554062.199100425 3411080.3687291923),0.011169258,0.012974676,0.021579332
14776,15130,-94.80820199,29.27822465,4,40,1,25.32429806,POINT (-10554000.768552626 3411105.682650587),0.015663398,0.018694296,0.030484395
14777,15131,-94.80803114,29.27827033,4,40,1,9.542914587,POINT (-10553981.749617623 3411111.512453009),0.013468682,0.016164095,0.025949192
14778,15132,-94.81582089,29.28001113,3,40,1,27.32678167,POINT (-10554848.90062103 3411333.6798952767),0.020307878,0.023984258,0.041122332
14779,15133,-94.81557849,29.28007078,3,40,1,33.4142164,POINT (-10554821.916776462 3411341.292719657),0.022160852,0.026317396,0.046686508
14780,15134,-94.81316696,29.28070482,3,40,1,19.47334503,POINT (-10554553.46648483 3411422.2122763013),0.018392483,0.02171738,0.03767676
14781,15135,-94.81321949,29.28051387,3,40,1,3.066773971,POINT (-10554559.31409768 3411397.842168986),0.01589047,0.01874293,0.031861042
14782,15136,-94.81839207,29.28313403,3,45,1,27.93659661,POINT (-10555135.12306937 3411732.2456224198),0.01661377,0.019378331,0.034439239
14783,15137,-94.81824055,29.2831749,3,45,1,21.183717,POINT (-10555118.255940124 3411737.461810406),0.015671954,0.018279402,0.032163956
