FID,FID_Road_n,NAME,x_start,y_start,x_end,y_end,xy_start,xy_end,start_node,end_node,StartNode2,EndNode2,length,NEAR_FID,NEAR_DIST,ORIG_FID,NEAR_X,NEAR_Y,water_dist,Lon,Lat
67,6,33RD,3305716.64957,13679541.8635,3305719.50497,13679533.5154,"3305716.64957,13679541.8635","3305719.50497,13679533.5154",49,50,50,51,8.82298770329,92,5247.96458316,67,3309234.02735,13675641.6367,1599.57960495,-94.8035,29.29705
68,6,33RD,3305719.50497,13679533.5154,3306049.91137,13678567.5239,"3305719.50497,13679533.5154","3306049.91137,13678567.5239",50,156,51,157,1020.93477901,92,4777.85858895,68,3309163.53062,13675575.2849,1456.29129791,-94.80304,29.2957
69,8,38TH,3303691.73499,13679595.3126,3303916.12627,13678931.8041,"3303691.73499,13679595.3126","3303916.12627,13678931.8041",51,48,52,49,700.424869837,96,6252.81091647,69,3307258.75877,13674051.8593,1905.85676734,-94.80954,29.29649
70,41,HARBORSIDE,3298433.7875,13679722.4846,3287874.39556,13677157.8627,"3298433.7875,13679722.4846","3287874.39556,13677157.8627",52,46,53,47,11084.7335997,115,12357.3517736,70,3300031.84981,13668855.072,3766.52082059,-94.84337,29.29691
71,10,51ST,3298433.7875,13679722.4846,3298511.67675,13682841.8138,"3298433.7875,13679722.4846","3298511.67675,13682841.8138",52,102,53,103,3249.33595352,103,11210.2679186,71,3304134.09766,13671857.7643,3416.88966159,-94.82727,29.30262
72,26,BROADWAY,3308616.11786,13680524.2704,3305716.64957,13679541.8635,"3308616.11786,13680524.2704","3305716.64957,13679541.8635",53,49,54,50,3061.37869203,88,4677.8531368,72,3310708.60627,13676977.7487,1425.8096361,-94.79891,29.29827
73,56,ROSENBERG,3308616.11786,13680524.2704,3309987.57804,13676481.8565,"3308616.11786,13680524.2704","3309987.57804,13676481.8565",53,57,54,58,4268.72494049,88,2062.68856476,73,3310937.29094,13677246.0789,628.707474539,-94.79238,29.29385
74,26,BROADWAY,3311157.47465,13681385.3415,3308616.11786,13680524.2704,"3311157.47465,13681385.3415","3308616.11786,13680524.2704",54,53,55,54,2683.26998547,86,3504.20858289,74,3312179.77039,13678304.9478,1068.08277606,-94.79027,29.30053
75,5,18TH,3311157.47465,13681385.3415,3311594.23067,13680096.7673,"3311157.47465,13681385.3415","3311594.23067,13680096.7673",54,157,55,158,1360.58049099,83,2222.81041978,75,3313146.9156,13679397.8409,677.512615949,-94.78563,29.2998
76,26,BROADWAY,3313315.92539,13682116.6747,3311157.47465,13681385.3415,"3313315.92539,13682116.6747","3311157.47465,13681385.3415",55,54,56,55,2278.98174685,82,2302.76315689,76,3313923.07929,13680182.9383,701.88221022,-94.78282,29.30249
77,26,BROADWAY,3315647.65563,13682906.6832,3313315.92539,13682116.6747,"3315647.65563,13682906.6832","3313315.92539,13682116.6747",56,55,57,56,2461.92597653,79,1326.11915913,77,3315384.04713,13681539.8332,404.201119703,-94.77569,29.30436
78,60,SEAWALL,3309987.57804,13676481.8565,3315647.65563,13682906.6832,"3309987.57804,13676481.8565","3315647.65563,13682906.6832",57,56,58,57,8612.01204382,83,76.0256441637,78,3313156.55473,13679409.0535,23.1726163411,-94.78037,29.2961
