geometry,guid,average_power_back_time,average_transpo_back_time,dislocated_combined_dmg,disloc_building,disloc_inf,disloc_both,disloc_not,disloc_condition
POINT (-94.83082476504282 29.270927480089956),335d18da-7a60-4f4d-8c97-d35e0f3a1360,0.0,0.0,True,1,0,0,0,1
POINT (-94.83082476504282 29.270927480089956),335d18da-7a60-4f4d-8c97-d35e0f3a1360,0.0,0.0,False,0,0,0,1,4
POINT (-94.83082476504282 29.270927480089956),335d18da-7a60-4f4d-8c97-d35e0f3a1360,0.0,0.0,True,1,0,0,0,1
POINT (-94.83082476504282 29.270927480089956),335d18da-7a60-4f4d-8c97-d35e0f3a1360,0.0,0.0,False,0,0,0,1,4
POINT (-94.83259311623674 29.26697109860631),eb47b2e1-0f51-4e93-bd00-979cb6992b18,0.0,0.0,True,1,0,0,0,1
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,True,0,0,1,0,3
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
POINT (-94.84631959751216 29.25637478188979),910074f1-f88e-4af3-ab70-15c6c62fb16d,0.0,17.767,False,0,1,0,0,2
