OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
68,-94.91978396,29.22601375,five,20,1,Very Stiff,0,10.22393647,3.4075055,38.432975,12.398609,1.4457907,1.2360169,136.29552,46.74112,5.2419425
69,-94.91979177,29.2261668,five,20,1,Very Stiff,0,9.493584797,3.4075055,38.432975,12.398609,1.4457907,1.2360169,136.29552,46.74112,5.2419425
70,-94.91963753,29.22631184,five,20,1,Very Stiff,0,8.640867883,3.4534716,24.765324,11.312587,1.4959405,1.2428298,140.12447,46.929183,5.2547326
71,-94.92162559,29.22558522,five,20,1,Very Stiff,0,33.50855892,3.3990956,65.731908,12.074195,1.4361444,1.3095164,130.07057,46.705794,5.2403079
72,-94.92147094,29.22580421,five,20,1,Very Stiff,0,62.55495279,3.3990956,65.731908,12.074195,1.4361444,1.3095164,130.07057,46.705794,5.2403079
73,-94.92185824,29.22580301,five,20,1,Very Stiff,0,25.45198034,3.3990956,65.731908,12.074195,1.4361444,1.3095164,130.07057,46.705794,5.2403079
74,-94.92207996,29.22600268,five,20,1,Very Stiff,0,40.39131311,3.3990956,65.731908,12.074195,1.4033766,1.3095164,130.07057,46.705794,5.2403079
75,-94.92202703,29.22629233,five,20,1,Very Stiff,0,47.70676867,2.3428122,11.498942,12.404367,1.4245739,1.4863914,134.24342,46.817323,5.2691485
76,-94.92232193,29.22666654,five,20,1,Very Stiff,0,27.42569309,2.0781809,9.7172196,12.525612,1.2514095,1.540784,131.2242,46.806197,5.2590628
77,-94.92257854,29.22656652,five,20,1,Very Stiff,0,33.63740173,2.0781809,9.7172196,12.525612,1.2514095,1.540784,131.2242,46.806197,5.2590628
78,-94.922679,29.22672986,five,20,1,Very Stiff,0,5.66400184,2.0781809,9.7172196,12.525612,1.2514095,1.540784,131.2242,46.806197,5.2590628
79,-94.92212772,29.22678674,five,20,1,Very Stiff,0,49.80779325,2.0781809,9.7172196,12.525612,1.2514095,1.540784,131.2242,46.806197,5.2590628
80,-94.92143125,29.22721624,five,20,1,Very Stiff,0,65.90385673,1.9418585,9.1542083,12.173861,1.166571,1.5188385,137.72832,46.873906,5.2519089
81,-94.92094918,29.22750947,five,20,1,Very Stiff,0,44.33990767,2.4041207,12.597145,11.996923,1.4134832,1.5272614,135.24746,46.885209,5.2618376
82,-94.92063833,29.22770331,five,20,1,Very Stiff,0,30.80766637,2.4041207,12.597145,11.996923,1.4134832,1.5272614,135.24746,46.885209,5.2618376
83,-94.92072633,29.22781376,five,20,1,Very Stiff,0,12.17356364,2.4041207,12.597145,11.996923,1.4134832,1.5272614,135.24746,46.885209,5.2618376
84,-94.92048664,29.22779405,five,20,1,Very Stiff,0,15.87122417,2.4041207,12.597145,11.996923,1.4134832,1.5272614,135.24746,46.885209,5.2618376
85,-94.92035451,29.22787584,five,20,1,Very Stiff,0,13.9999816,2.4041207,12.597145,11.996923,1.4134832,1.5272614,135.24746,46.885209,5.2618376
86,-94.9208551,29.22797326,five,20,1,Very Stiff,0,7.231464498,2.4041207,12.597145,11.996923,1.4134832,1.5272614,135.24746,46.885209,5.2618376
87,-94.92191328,29.22777762,five,20,1,Very Stiff,0,9.600069703,1.9418585,9.1542083,12.173861,1.166571,1.5188385,137.72832,46.873906,5.2519089
88,-94.92191634,29.22802516,five,20,1,Very Stiff,0,15.88692284,3.0162926,15.517751,11.655418,1.166571,1.7446542,148.28176,46.931032,5.2371845
89,-94.92208441,29.22796865,five,20,1,Very Stiff,0,18.98939911,1.9418585,9.1542083,12.173861,1.0446057,1.5188385,137.72832,46.873906,5.2519089
90,-94.92202825,29.22839616,five,20,1,Very Stiff,0,81.64476734,3.0162926,15.517751,11.655418,0.98087724,1.7446542,148.28176,46.931032,5.2371845
91,-94.921685,29.22844337,five,20,1,Very Stiff,0,60.53585331,3.0162926,15.517751,11.655418,0.98087724,1.7446542,148.28176,46.931032,5.2371845
92,-94.92150234,29.22834645,five,20,1,Very Stiff,0,10.2105191,3.0162926,15.517751,11.655418,0.98087724,1.7446542,148.28176,46.931032,5.2371845
93,-94.92112712,29.22852154,five,20,1,Very Stiff,0,31.15573467,3.0162926,15.517751,11.655418,0.98087724,1.7446542,148.28176,46.931032,5.2371845
94,-94.92303018,29.22803088,five,20,1,Very Stiff,0,76.32322097,2.7741626,14.336908,11.604098,1.0446057,1.5041983,150.4281,46.920089,5.2335415
95,-94.92031543,29.22801911,five,20,1,Very Stiff,0,15.51007941,2.6780534,13.792409,11.938455,1.4134832,1.7962411,143.68236,46.942314,5.2477433
96,-94.92027776,29.22775685,five,20,1,Very Stiff,0,25.27308495,2.4041207,12.597145,11.996923,1.4134832,1.5272614,135.24746,46.885209,5.2618376
