OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SOIL,AGE,SpanLength,MaxFloodDepth,MaxFloodDuration,MaxPeakWavePeriod,MaxSigWaveHt,MaxWaterVel,MaxWaveDir,MaxWindVel,MaxWSE
8012,-95.05233756,29.14515126,five,25,1,Very Stiff,0,39.54165283,1.589213,35.845345,4.1464233,0.72494804,0.39364329,323.41438,32.838099,2.544245
8013,-95.05202882,29.14518038,five,25,1,Very Stiff,0,2.666440201,1.589213,35.845345,4.1464233,0.72494804,0.39364329,323.41438,32.838099,2.544245
8014,-95.05198398,29.14536658,five,25,1,Very Stiff,0,35.58931111,1.589213,35.845345,4.1464233,0.72494804,0.39364329,323.41438,32.838099,2.544245
8015,-95.05186643,29.14529035,five,25,1,Very Stiff,0,13.14921391,1.589213,35.845345,4.1464233,0.72494804,0.39364329,323.41438,32.838099,2.544245
8016,-95.05163474,29.14557578,five,25,1,Very Stiff,0,24.73248224,1.6598907,39.247743,4.1488989,0.76468178,0.46998682,323.20031,33.263835,2.5444756
8017,-95.05155588,29.14548956,five,25,1,Very Stiff,0,4.423906893,1.5362789,33.43112,4.1270193,0.68118621,0.35329032,325.63868,32.603208,2.5647127
8018,-95.05127153,29.14578396,five,25,1,Very Stiff,0,48.66294622,1.6598907,39.247743,4.1488989,0.76468178,0.46998682,323.20031,33.263835,2.5444756
8019,-95.05109784,29.14574265,five,25,1,Very Stiff,0,9.701089527,1.6598907,39.247743,4.1488989,0.76468178,0.46998682,323.20031,33.263835,2.5444756
8020,-95.05093806,29.14600426,five,25,1,Very Stiff,0,47.32261974,1.6598907,39.247743,4.1488989,0.76468178,0.46998682,323.20031,33.263835,2.5444756
8021,-95.05077161,29.14595456,five,25,1,Very Stiff,0,9.297904344,1.6598907,39.247743,4.1488989,0.76468178,0.46998682,323.20031,33.263835,2.5444756
8022,-95.05059164,29.14621036,five,25,1,Very Stiff,0,44.34412546,1.6598907,39.247743,4.1488989,0.76468178,0.46998682,323.20031,33.263835,2.5444756
8023,-95.05046636,29.14612287,five,25,1,Very Stiff,0,7.009408935,1.6598907,39.247743,4.1488989,0.76468178,0.46998682,323.20031,33.263835,2.5444756
8024,-95.05027041,29.14640207,five,25,1,Very Stiff,0,45.61231202,1.6598907,39.247743,4.1488989,0.76468178,0.46998682,323.20031,33.263835,2.5444756
8025,-95.05015617,29.14632695,five,25,1,Very Stiff,0,6.389800428,1.6598907,39.247743,4.1488989,0.76468178,0.46998682,323.20031,33.263835,2.5444756
8026,-95.04989027,29.14663714,five,25,1,Very Stiff,0,43.39170417,1.0104103,27.379254,4.137204,0.97024153,0.6552975,325.38526,33.872565,2.5274616
8027,-95.04984888,29.14649509,five,25,1,Very Stiff,0,2.414640159,1.0104103,27.379254,4.137204,0.97024153,0.6552975,325.38526,33.872565,2.5274616
8028,-95.04953162,29.14668733,five,25,1,Very Stiff,0,0.89979661,1.8698366,48.276974,4.1177991,0.85171823,0.53752155,323.05321,33.693695,2.5431377
8029,-95.0495377,29.14685686,five,25,1,Very Stiff,0,40.04233607,1.8698366,48.276974,4.1177991,0.85171823,0.53752155,323.05321,33.693695,2.5431377
8030,-95.0491903,29.14705533,five,25,1,Very Stiff,0,43.70338942,1.8698366,48.276974,4.1177991,0.85171823,0.53752155,323.05321,33.693695,2.5431377
8031,-95.04909751,29.14694301,five,25,1,Very Stiff,0,16.17603804,1.8698366,48.276974,4.1177991,0.85171823,0.53752155,323.05321,33.693695,2.5431377
8032,-95.04884933,29.14726326,five,25,1,Very Stiff,0,30.94059536,1.8698366,48.276974,4.1177991,0.85171823,0.53752155,323.05321,33.693695,2.5431377
8033,-95.04890143,29.14706147,five,25,1,Very Stiff,0,10.9652009,1.8698366,48.276974,4.1177991,0.85171823,0.53752155,323.05321,33.693695,2.5431377
8034,-95.04863682,29.14733817,five,25,1,Very Stiff,0,11.87274767,1.7662713,41.429687,4.0704869,0.78796929,0.47103632,323.4527,32.895959,2.5658789
8035,-95.04660695,29.13774055,five,25,1,Very Stiff,0,32.88155257,0.81082821,8.9948831,11.831402,0.51436213,0.50772764,128.86489,29.370096,2.8157315
8036,-95.04684128,29.13758353,five,25,1,Very Stiff,0,21.46015636,0.86466074,9.8377255,11.801113,0.44742051,0.38682666,192.27027,29.912512,2.7825053
8037,-95.04699056,29.13748018,five,25,1,Very Stiff,0,23.82985128,0.86466074,9.8377255,11.801113,0.44742051,0.38682666,192.27027,29.912512,2.7825053
