"guid","LS_0","LS_1","LS_2","DS_0","DS_1","DS_2","DS_3","haz_expose"
"5a7bc8b6-892d-438d-aeef-21bc7177fa66","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"30e85c3f-de4f-4e95-be64-7126e1741d8a","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"ceaee745-13c0-464a-9495-7af9bda89f28","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"71d55d0f-402d-459a-b719-898363947e84","1e-10","0.0","0.0","0.9999999999","0","0","1E-10","yes"
"55304f1d-6623-4277-9f61-cc75d981e19a","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"a5dbfb56-3e9c-4f78-9a20-893b07745244","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"fc19d487-9e03-4c4b-b332-c7735d4f9d87","5.951e-07","0.0","0.0","0.9999994049","0","0","5.951E-7","yes"
"81623e91-2234-466f-aa91-a7ae314ac2ba","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"c6872a90-5403-48d8-bad2-04af96981957","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"f626c9b7-3234-4554-bd96-23477b644ec6","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"1f6fca5c-c366-45cc-818c-08bdba588344","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"59908718-0dab-4312-afac-64f8b45b774f","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"9b786825-a533-474c-ac95-f52922be18e8","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"281c8e16-12b5-48e4-b65f-e3575694330f","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"2a92c7f4-1a22-402a-9777-907830d8f597","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"c73811a7-a9fb-4260-984d-6b209bb79170","2.709e-07","0.0","0.0","0.9999997291","0","0","2.709E-7","yes"
"d9c5dedc-11d5-4c30-ae95-9b2ecf8503da","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"51bea30d-29cf-48ca-ac4f-6ce10479486a","2e-10","0.0","0.0","0.9999999998","0","0","2E-10","yes"
"6cba1f40-9270-4002-91e6-972e75c26eb5","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"e878efc6-983a-4ade-8d0d-9cb53945b58e","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"585e98d7-b24e-473e-a3b2-fa202b9c8d4d","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"efb6a363-5411-49cd-a6b8-54741f95d6de","0.0","0.0","0.0","1.0","0","0","0.0","yes"
"46550363-0338-4427-b7af-b7c1e138aa86","0.0","0.0","0.0","1.0","0","0","0.0","yes"
