,guid,geometry_x,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry_y,distance
2419,ef6fe4bc-5530-405b-a0d7-bf0f9dd30971,POINT (-94.94634 29.19839),9570,-94.94635066,29.19921699,5,25,1,0,POINT (-94.94635066 29.19921699),8.016912684
2420,d95e79e7-8e20-4f03-b72f-4650445a6c96,POINT (-94.94656 29.19793),9569,-94.946548,29.19973141,5,25,1,0,POINT (-94.946548 29.19973141),17.32328269
2421,4d212418-3ef4-4acc-9247-fd37ab886277,POINT (-94.9463 29.19738),9570,-94.94635066,29.19921699,5,25,1,0,POINT (-94.94635066 29.19921699),18.49107406
2422,1333e0b3-979d-4634-8682-f55585b56101,POINT (-94.94678 29.19711),9571,-94.94683143,29.19802027,5,25,1,0,POINT (-94.94683143 29.19802027),10.43471103
2423,e88c0471-60f8-401e-a556-c81582ee854b,POINT (-94.94721 29.19792),9572,-94.94728685,29.19890881,5,25,1,0,POINT (-94.94728685 29.19890881),12.76442898
2424,8fbff821-4a5d-4ce5-af65-d7a3fe636495,POINT (-94.9476 29.19782),5633,-94.94762243,29.19698111,5,25,1,0,POINT (-94.94762243 29.19698111),8.422688338
2425,e6bf337e-9348-48fb-b6d8-37352a9315ec,POINT (-94.9474 29.19743),9575,-94.94745513,29.19879159,5,25,1,0,POINT (-94.94745513 29.19879159),14.42456803
2426,a0d6b606-02a5-4c3b-8fbd-30040711c8a1,POINT (-94.94756 29.19649),5633,-94.94762243,29.19698111,5,25,1,0,POINT (-94.94762243 29.19698111),8.388767819
2427,9e614163-da19-49a3-b5c4-6ed8d2d9446c,POINT (-94.94777 29.19684),5634,-94.94780908,29.19741345,5,25,1,0,POINT (-94.94780908 29.19741345),7.009185894
2428,a455e715-db67-4155-8b5b-a067c832cfff,POINT (-94.94792 29.19717),5634,-94.94780908,29.19741345,5,25,1,0,POINT (-94.94780908 29.19741345),12.55278744
2429,1f9349fe-c254-4092-8f21-3e187ac8ff65,POINT (-94.94823 29.19778),5277,-94.94821528,29.20008029,5,25,1,39.9606437,POINT (-94.94821528 29.20008029),22.12310401
2430,3b09487b-f7f0-4a04-ab52-c4a9c0a90ec2,POINT (-94.92858 29.20883),9426,-94.92860393,29.20808645,5,25,1,7.109794446,POINT (-94.92860393 29.20808645),7.58532236
2431,bff3f927-d388-4e07-86d6-edaeffeae197,POINT (-94.92866 29.20899),9427,-94.92872973,29.20831404,5,25,1,11.43218109,POINT (-94.92872973 29.20831404),10.09063256
2432,0d5533bc-d117-4f50-8d38-7ea76b649973,POINT (-94.92873 29.20914),14493,-94.92874727,29.20983841,5,20,1,35.72074644,POINT (-94.92874727 29.20983841),6.943105711
2433,6c97b8e9-b49b-4fba-949f-0e1fc7f54f89,POINT (-94.92883 29.20928),9425,-94.92879082,29.20886722,5,25,1,18.38377264,POINT (-94.92879082 29.20886722),5.876367811
2434,7322c8f1-de4d-4b27-a85f-1a30bb169e83,POINT (-94.92896 29.20946),9429,-94.92903956,29.20932348,5,25,1,16.82916083,POINT (-94.92903956 29.20932348),8.94230238
2435,73ae42dd-608b-4378-a909-3104a99b7c84,POINT (-94.92852 29.20979),9421,-94.9284378,29.20999173,5,20,1,24.30275254,POINT (-94.9284378 29.20999173),9.341171727
2436,c9f8d54b-4a4e-4f5d-a1b0-5b663a7710d6,POINT (-94.9283 29.20972),9417,-94.92831239,29.21002877,5,20,1,16.67308556,POINT (-94.92831239 29.21002877),3.255466906
2437,493f6dac-f736-4d0f-b337-62253b08e582,POINT (-94.92818 29.20935),9416,-94.92814035,29.21025346,5,20,1,19.77751736,POINT (-94.92814035 29.21025346),9.69115192
2438,64273d1f-050a-4b65-80ef-99b5c5bc614c,POINT (-94.9281 29.2092),9418,-94.928031,29.2094877,5,20,1,36.27473035,POINT (-94.928031 29.2094877),8.149779627
2439,f141fb9b-6421-4f3d-9f03-f13f48c0d0e8,POINT (-94.92794 29.20889),9418,-94.928031,29.2094877,5,20,1,36.27473035,POINT (-94.928031 29.2094877),11.6182811
2440,82070956-129a-40b0-8497-fb326c24319e,POINT (-94.92778 29.20857),9420,-94.92773036,29.20889122,5,20,1,28.92819525,POINT (-94.92773036 29.20889122),6.315132125
2441,fa32b837-2cac-4fa5-96ee-01fa17557d04,POINT (-94.92752 29.20798),9419,-94.92751999,29.20849903,5,20,1,11.89746612,POINT (-94.92751999 29.20849903),4.957328708
2442,fa47401d-8276-412d-adff-1f10534ed59f,POINT (-94.92804 29.20769),9418,-94.928031,29.2094877,5,20,1,36.27473035,POINT (-94.928031 29.2094877),17.20101419
2443,7dfd6e7e-6d81-4ebc-a74b-36c456d45d51,POINT (-94.92831 29.20808),9417,-94.92831239,29.21002877,5,20,1,16.67308556,POINT (-94.92831239 29.21002877),18.61785466
2444,5d24dd8b-587e-4dce-a8ef-a044449c9b1d,POINT (-94.92848 29.20846),9426,-94.92860393,29.20808645,5,25,1,7.109794446,POINT (-94.92860393 29.20808645),14.2349479
2445,71daf034-2d1e-4af2-acd5-8a4e16402bc6,POINT (-94.94034 29.20482),9518,-94.94026241,29.20496004,5,25,1,35.19086142,POINT (-94.94026241 29.20496004),8.731209384
2446,0844f54c-257e-429f-9773-aac6a7f6c807,POINT (-94.94054 29.2048),9522,-94.94063195,29.20347802,5,25,1,70.50489285,POINT (-94.94063195 29.20347802),16.27294453
2447,f70b0c31-16d3-4bb5-acbe-1917549044e1,POINT (-94.94095 29.20477),5296,-94.94087407,29.20620048,5,25,1,53.39179713,POINT (-94.94087407 29.20620048),16.09248569
2448,1048b71f-f570-4a7c-a3d3-2e91de270af1,POINT (-94.94115 29.20474),9525,-94.94124792,29.20361677,5,25,1,34.40361673,POINT (-94.94124792 29.20361677),15.30634135
2449,b2a064f3-b095-4dd7-98e4-3a99cde6de84,POINT (-94.94134 29.2047),5295,-94.9413446,29.20596849,5,25,1,51.52152792,POINT (-94.9413446 29.20596849),12.16019026
2450,3d8395c9-8fbd-4b00-aef1-dd67f804b8e4,POINT (-94.94151 29.20461),9529,-94.94160062,29.20267822,5,25,1,40.60925561,POINT (-94.94160062 29.20267822),21.06896364
2451,d85c7aa7-9106-494c-a71a-acc832e8c3a5,POINT (-94.94166 29.2045),9529,-94.94160062,29.20267822,5,25,1,40.60925561,POINT (-94.94160062 29.20267822),18.65720231
2452,7d733026-991c-4bbe-9b56-fff7357179b4,POINT (-94.94181 29.20438),5294,-94.94179568,29.20570195,5,25,1,49.27443674,POINT (-94.94179568 29.20570195),12.76236072
2453,a000ca84-36bf-4ac2-a937-9da92aaa20d2,POINT (-94.94218 29.20445),5293,-94.94222579,29.20543642,5,25,1,47.00732619,POINT (-94.94222579 29.20543642),10.73389376
2454,f65311be-6c9d-4b41-9db6-81de446cf696,POINT (-94.94203 29.20457),9528,-94.94199773,29.20327083,5,25,1,37.73109867,POINT (-94.94199773 29.20327083),12.95193945
2455,ef5c56bb-4366-4c91-9791-33c1c0e0a31e,POINT (-94.94189 29.20468),5294,-94.94179568,29.20570195,5,25,1,49.27443674,POINT (-94.94179568 29.20570195),14.34651314
2456,58ea676d-9ede-40f7-93ed-f522e8a36b65,POINT (-94.94162 29.2049),5294,-94.94179568,29.20570195,5,25,1,49.27443674,POINT (-94.94179568 29.20570195),20.99074744
2457,efdc8055-9d0c-4090-b49b-9f4b288b21de,POINT (-94.94146 29.20497),5295,-94.9413446,29.20596849,5,25,1,51.52152792,POINT (-94.9413446 29.20596849),16.00370044
2458,7495105a-d2ff-4d63-90c4-61d61987fa69,POINT (-94.9413 29.20502),5295,-94.9413446,29.20596849,5,25,1,51.52152792,POINT (-94.9413446 29.20596849),10.34998846
2459,1f1ff710-3251-4105-894b-3934050e3bbe,POINT (-94.94093 29.20505),5296,-94.94087407,29.20620048,5,25,1,53.39179713,POINT (-94.94087407 29.20620048),12.65217591
2460,1d210299-e892-448f-82d0-2ead612c3b83,POINT (-94.94074 29.20506),5296,-94.94087407,29.20620048,5,25,1,53.39179713,POINT (-94.94087407 29.20620048),18.48079324
2461,da32e2c5-b378-44e1-9ec2-14d2bdc778fc,POINT (-94.94055 29.20508),9522,-94.94063195,29.20347802,5,25,1,70.50489285,POINT (-94.94063195 29.20347802),17.84346972
2462,65fd714c-f0f3-47ab-a22a-116007b351ef,POINT (-94.94037 29.20509),9523,-94.94039037,29.2038946,5,25,1,44.71622989,POINT (-94.94039037 29.2038946),11.66909735
2463,10014009-df00-4daa-bf7b-1db039372767,POINT (-94.94018 29.20511),9518,-94.94026241,29.20496004,5,25,1,35.19086142,POINT (-94.94026241 29.20496004),9.27540305
2464,d9f05152-4ee9-40f3-a71c-f1e477aa6bda,POINT (-94.93998 29.20513),5298,-94.93987553,29.20663407,5,25,1,58.83538072,POINT (-94.93987553 29.20663407),18.50275397
2465,57a2133a-20de-4050-8dc4-643e49b7b502,POINT (-94.93979 29.20516),9524,-94.93983386,29.20385137,5,25,1,109.8564841,POINT (-94.93983386 29.20385137),13.44568345
2466,8d6e1b49-7c45-4e8d-93ce-d279e9326262,POINT (-94.93981 29.20447),9524,-94.93983386,29.20385137,5,25,1,109.8564841,POINT (-94.93983386 29.20385137),6.490371259
2467,e00db13c-bbe2-436a-be67-8ae50adcb787,POINT (-94.93973 29.20427),9524,-94.93983386,29.20385137,5,25,1,109.8564841,POINT (-94.93983386 29.20385137),12.22453322
2468,8fd5b221-e85f-4c94-b8f9-b7120b3a239f,POINT (-94.93966 29.20404),9517,-94.93963228,29.20504906,5,25,1,56.89669408,POINT (-94.93963228 29.20504906),10.14110781
2469,76b11415-bb97-44bf-94e6-67008f50209a,POINT (-94.9399 29.20395),9524,-94.93983386,29.20385137,5,25,1,109.8564841,POINT (-94.93983386 29.20385137),7.414818746
2470,23c96bec-9e23-446e-b57e-d2571a7bc40c,POINT (-94.94032 29.20412),9523,-94.94039037,29.2038946,5,25,1,44.71622989,POINT (-94.94039037 29.2038946),8.117023609
2471,dad2d7d6-278b-4efc-a1d0-ddb1f0104e1c,POINT (-94.94026 29.20438),9518,-94.94026241,29.20496004,5,25,1,35.19086142,POINT (-94.94026241 29.20496004),5.560794086
2472,18e6928a-1526-47a3-944c-ca3b27815bee,POINT (-94.94045 29.20436),9523,-94.94039037,29.2038946,5,25,1,44.71622989,POINT (-94.94039037 29.2038946),7.989148719
2473,d4d238cb-3819-4c8d-b027-2dc339bebf4b,POINT (-94.94064 29.20435),9522,-94.94063195,29.20347802,5,25,1,70.50489285,POINT (-94.94063195 29.20347802),8.398355543
2474,16dde752-3417-4618-981d-b8e8190d1518,POINT (-94.94085 29.20434),5296,-94.94087407,29.20620048,5,25,1,53.39179713,POINT (-94.94087407 29.20620048),18.01760067
2475,2396fc22-ead9-4aaa-8d64-5d8f2b0e8c13,POINT (-94.94051 29.20387),9523,-94.94039037,29.2038946,5,25,1,44.71622989,POINT (-94.94039037 29.2038946),13.30433482
2476,1f9aa21f-85d0-4c93-9cda-51603efd6f7b,POINT (-94.94073 29.20373),9522,-94.94063195,29.20347802,5,25,1,70.50489285,POINT (-94.94063195 29.20347802),11.16651888
2477,07155970-7307-448d-9bd2-ffdaab3a1a51,POINT (-94.94102 29.20367),9525,-94.94124792,29.20361677,5,25,1,34.40361673,POINT (-94.94124792 29.20361677),25.34867479
