,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_TOWER
19,10465,-94.89612042,29.30162836,,,3,150.9104031,POINT (-10563787.803411571 3414092.8675123146),0.0014684818334773642
20,10466,-94.89746572,29.30229671,,,3,149.8950001,POINT (-10563937.561522534 3414178.1839134307),0.0016264159544783219
21,10467,-94.89880229,29.30294757,,,3,150.4523329,POINT (-10564086.347814344 3414261.2682129787),0.0008953856807161209
22,10468,-94.90015763,29.30359847,,,3,82.95862213,POINT (-10564237.223572996 3414344.3581484067),0.0009727136538356662
23,10555,-94.86910101,29.28855429,,,3,144.1841941,POINT (-10560780.016448835 3412424.044973362),0.0003271875249537537
24,10558,-94.86787864,29.28796185,,,3,112.0152956,POINT (-10560643.942842875 3412348.4288051096),0.0007051999037990253
25,10561,-94.86709686,29.2875702,,,3,96.85476558,POINT (-10560556.915491363 3412298.440739408),3.2358518174957496e-06
26,10570,-94.86438791,29.28803798,,,3,305.6383934,POINT (-10560255.356556779 3412358.1456445195),1.5718130336961345e-05
27,10571,-94.8644067,29.28816055,,,3,155.1309341,POINT (-10560257.44825001 3412373.789860531),1.5718130336961345e-05
28,10572,-94.86311066,29.28827627,,,3,311.4139228,POINT (-10560113.173737163 3412388.559794353),6.787685542852806e-05
29,10573,-94.86311304,29.2884163,,,3,158.4225341,POINT (-10560113.43867755 3412406.432559839),6.787685542852806e-05
30,10574,-94.8616001,29.28790379,,,3,346.7849395,POINT (-10559945.01896715 3412341.018331897),3.52030263414127e-05
31,10575,-94.86157027,29.28804387,,,3,170.9224148,POINT (-10559941.69830674 3412358.8974139555),3.52030263414127e-05
32,10576,-94.86000601,29.28780631,,,3,257.6213208,POINT (-10559767.565680072 3412328.576506565),0.0007480830108401726
33,10577,-94.86005262,29.28793974,,,3,158.4982162,POINT (-10559772.754281538 3412345.6068004314),0.0007480830108401726
34,10578,-94.85869083,29.28808576,,,3,146.7227474,POINT (-10559621.16051217 3412364.2440402727),0.0006869447509677551
35,10579,-94.85873221,29.28820761,,,3,147.2582254,POINT (-10559625.766912699 3412379.796366339),0.0006869447509677551
36,10588,-94.85737898,29.28833996,,,3,146.7567596,POINT (-10559475.126038171 3412396.6888810373),0.00015964117653166632
37,10589,-94.85741604,29.28849798,,,3,146.4996234,POINT (-10559479.251538502 3412416.8578192056),6.785422640120942e-05
38,10590,-94.85606319,29.28861234,,,3,147.038243,POINT (-10559328.65296538 3412431.4542174092),0.00020091952014200665
39,10591,-94.85610919,29.28874955,,,3,147.2315491,POINT (-10559333.773661958 3412448.967108838),0.00020091952014200665
40,10592,-94.8547463,29.28887497,,,3,146.9746372,POINT (-10559182.05744115 3412464.9751961976),0.001010365807085578
41,10593,-94.85477988,29.28902104,,,3,147.5730872,POINT (-10559185.795549652 3412483.6189884804),0.001010365807085578
42,10595,-94.85343164,29.28914009,,,3,220.1551304,POINT (-10559035.710159384 3412498.8140754364),0.001010365807085578
43,10596,-94.85080447,29.28966687,,,3,230.1108701,POINT (-10558743.254932757 3412566.050473686),5.6278591826552926e-05
44,10597,-94.85082713,29.28981056,,,3,230.2300063,POINT (-10558745.777432417 3412584.3906342313),5.6278591826552926e-05
45,10599,-94.84934473,29.29011938,,,3,164.8552948,POINT (-10558580.757419266 3412623.8075799188),2.960689448494591e-06
