,OBJECTID,LON,LAT,CLASS,HEIGHT,TYPE,SpanLength,geometry,Pf_PR_VS,Pf_PR_SM,Pf_FF_VS,Pf_FF_S,Pf_FF_M,Pf_WoodPole_VS,Pf_WoodPole_S,Pf_WoodPole_M
9516,9735,-94.91275465,29.21727858,5,20,1,22.79039461,POINT (-10565639.517424908 3403329.9027576232),0.04244318274131954,0.0413579834714328,0.03805490140137942,0.05876088229280049,0.2030371727282839,0.07888291300831729,0.09768863416560092,0.2359979481659339
9517,9736,-94.91251346,29.2174119,5,20,1,24.24882555,POINT (-10565612.668276923 3403346.9072841275),0.042975891430519275,0.04188296320594502,0.03873098665396529,0.059897952971216646,0.2063540280454527,0.08004237940704684,0.09927221241675677,0.23959427308737136
9518,9737,-94.91232091,29.2175213,5,20,1,18.8586083,POINT (-10565591.233708972 3403360.8609100175),0.041038317754772846,0.039973882004981774,0.03628825988639741,0.05579551984222758,0.19429386738371354,0.0758373685011845,0.09353903832062949,0.22650106925960722
9519,9738,-94.91217617,29.21761001,5,20,1,16.16085786,POINT (-10565575.121325875 3403372.1756024254),0.04010024858481842,0.03904999108705627,0.03512203437088807,0.05384292312268815,0.18846186070248297,0.0738138806466293,0.09079034854170243,0.2201524178088572
9520,9739,-94.91203187,29.21768851,5,20,1,8.067009027,POINT (-10565559.057923354 3403382.1880483595),0.037407609961821686,0.03639949994341847,0.031835949897806894,0.04836471651490873,0.17177357213304165,0.06805265306308739,0.08300376496227935,0.2019205999473227
9521,9740,-94.91173786,29.21799983,5,20,1,19.36520274,POINT (-10565526.328879865 3403421.8960814686),0.04234701927531683,0.04127580659337109,0.037672926898572066,0.05915693622334951,0.21387146150978464,0.07842461001235745,0.09799099255850918,0.24631955102203618
9522,9741,-94.91139728,29.2187625,5,20,1,54.99119219,POINT (-10565488.415687691 3403519.17310947),0.05730879614643367,0.05605154006185153,0.05770186953690931,0.0937368518290133,0.3091703318668489,0.11170384100478425,0.14453429698529896,0.34789239868612976
9523,9742,-94.91076148,29.21937615,5,20,1,47.35713253,POINT (-10565417.638755444 3403597.443461313),0.049263349973949405,0.04806235140663083,0.04819155391175639,0.07663528020105348,0.2515497673367025,0.09508082649956251,0.12101435984051567,0.28752204542934046
9524,9743,-94.91023359,29.21920973,5,20,1,10.34882158,POINT (-10565358.87430945 3403576.2167353486),0.03588884457498774,0.0348889257950689,0.03082802453248397,0.04714954759299778,0.16693173129374758,0.06561048692647153,0.0803934763208235,0.19599658830286648
9525,9744,-94.91004984,29.21949076,5,20,1,16.0207658,POINT (-10565338.419353016 3403612.061886982),0.037684518943533675,0.036654596198912905,0.03302920185670092,0.0508410650725235,0.1782470972253528,0.06946903121717585,0.08563210256088039,0.20836811805184197
