bgid,bgidstr,Survey,pblackbg,phispbg
481677247001,BG481677247001,2010 dec/sf1,58.179231863442396,26.458036984352773
481677247002,BG481677247002,2010 dec/sf1,47.980214344600164,34.8722176422094
481677248001,BG481677248001,2010 dec/sf1,24.588364434687158,30.18660812294182
481677248002,BG481677248002,2010 dec/sf1,27.70745428973277,40.787623066104075
481677249001,BG481677249001,2010 dec/sf1,19.78021978021978,30.952380952380953
481677249002,BG481677249002,2010 dec/sf1,21.974965229485395,36.02225312934632
481677249003,BG481677249003,2010 dec/sf1,16.899224806201552,42.17054263565891
481677250001,BG481677250001,2010 dec/sf1,14.74558670820353,46.52128764278297
481677250002,BG481677250002,2010 dec/sf1,10.487444608567207,55.83456425406204
481677250003,BG481677250003,2010 dec/sf1,8.520900321543408,41.31832797427653
481677251001,BG481677251001,2010 dec/sf1,43.585780525502315,34.77588871715611
481677251002,BG481677251002,2010 dec/sf1,46.95393759286775,40.11887072808321
481677251003,BG481677251003,2010 dec/sf1,39.2226148409894,36.57243816254417
481677252001,BG481677252001,2010 dec/sf1,28.210526315789476,49.26315789473684
481677252002,BG481677252002,2010 dec/sf1,27.40303541315346,64.92411467116358
481677253001,BG481677253001,2010 dec/sf1,9.876543209876543,59.15637860082305
481677253002,BG481677253002,2010 dec/sf1,10.583153347732182,29.805615550755938
481677254001,BG481677254001,2010 dec/sf1,9.031556039173013,53.42763873775843
481677254002,BG481677254002,2010 dec/sf1,11.375661375661375,54.629629629629626
481677254003,BG481677254003,2010 dec/sf1,8.984047019311504,64.65155331654073
481677254004,BG481677254004,2010 dec/sf1,13.750000000000002,44.80769230769231
481677255001,BG481677255001,2010 dec/sf1,9.197651663405088,15.459882583170254
481677255002,BG481677255002,2010 dec/sf1,3.9538714991762767,18.945634266886326
481677256001,BG481677256001,2010 dec/sf1,8.860759493670885,21.308016877637133
481677256002,BG481677256002,2010 dec/sf1,16.60470879801735,24.53531598513011
481677256003,BG481677256003,2010 dec/sf1,15.959119496855346,23.5062893081761
481677256004,BG481677256004,2010 dec/sf1,20.40441176470588,31.801470588235293
481677257001,BG481677257001,2010 dec/sf1,5.533596837944664,21.106719367588934
481677257002,BG481677257002,2010 dec/sf1,6.533192834562697,21.707060063224446
481677258001,BG481677258001,2010 dec/sf1,17.378048780487802,39.48170731707317
481677258002,BG481677258002,2010 dec/sf1,10.036275695284159,51.995163240628784
481677258003,BG481677258003,2010 dec/sf1,10.888610763454318,31.727158948685858
481677259001,BG481677259001,2010 dec/sf1,4.3604651162790695,19.912790697674417
481677259002,BG481677259002,2010 dec/sf1,8.125819134993446,21.494102228047183
481677260001,BG481677260001,2010 dec/sf1,3.290246768507638,15.62867215041128
481677260002,BG481677260002,2010 dec/sf1,0.8391608391608392,7.6923076923076925
481677261001,BG481677261001,2010 dec/sf1,1.0638297872340425,7.726763717805152
481677261002,BG481677261002,2010 dec/sf1,1.7406440382941688,5.134899912967798
481677262001,BG481677262001,2010 dec/sf1,36.74074074074074,36.0
481677262002,BG481677262002,2010 dec/sf1,39.28413610251878,28.590366769774633
481679900000,BG481679900000,2010 dec/sf1,,
