,bldg_guid,geometry_x,poles_guid,geometry_y,substations_guid,geometry
32,5e9cc3e7-181f-415e-8bec-32a7047f2715,POINT (-94.91797 29.22825),72e62796-fc0b-4c98-b8bf-cfd584e20a69,POINT (-94.91792566 29.22844573),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
33,3272bd38-d081-4730-8ea5-f4010eb00085,POINT (-94.91809 29.22848),18c2343c-6c47-47dd-a508-357c9a3c77e4,POINT (-94.91809291 29.22874735),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
34,c0bf351b-0f77-4862-847e-11a4829bee1a,POINT (-94.91814 29.22861),18c2343c-6c47-47dd-a508-357c9a3c77e4,POINT (-94.91809291 29.22874735),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
35,e3e58fb6-d5b6-41ee-911b-fed5cf1617b0,POINT (-94.91855 29.22921),323a7319-a5d3-45f1-95cc-bf214a9e7634,POINT (-94.91861028 29.22987794),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
36,c917175a-53ef-45a8-86eb-1dfd235ce030,POINT (-94.91865 29.22952),323a7319-a5d3-45f1-95cc-bf214a9e7634,POINT (-94.91861028 29.22987794),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
37,908c2b97-4a9e-4a7b-8673-fe6c7ee346c7,POINT (-94.91872 29.22968),323a7319-a5d3-45f1-95cc-bf214a9e7634,POINT (-94.91861028 29.22987794),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
38,8a2b630e-f2b3-4e62-83fa-08b8d9e6122b,POINT (-94.92054 29.22577),d980f039-309b-48ab-b998-13cbecff2aca,POINT (-94.92062082 29.22566291),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
39,d561ba31-79f2-4a94-adb7-d8144c01bc0a,POINT (-94.92038 29.22586),2e520d00-562a-4c82-a655-9408e40a40c9,POINT (-94.92042976 29.22561682),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
40,e02251b2-26a5-49f0-93b1-a182881d72c0,POINT (-94.92007 29.22605),f5311cf0-eb87-4098-bc81-4cec4cc55102,POINT (-94.92011581 29.22580393),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
41,45ca1011-2378-4272-a55d-926a4093828d,POINT (-94.91953 29.22637),eb716744-d642-485b-8d46-0c7b5437ff39,POINT (-94.91954299 29.22751056),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
42,57c77764-337b-440c-b348-1d8bb9c206aa,POINT (-94.91936 29.22624),ae651b07-b3e8-4546-a941-d36d79641aae,POINT (-94.9193493 29.22513884),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
43,7ff24045-e1e5-4a91-9bf7-e3884a4ae935,POINT (-94.91942 29.22601),ae651b07-b3e8-4546-a941-d36d79641aae,POINT (-94.9193493 29.22513884),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
44,cb61c6a4-05ab-4381-bff8-f1ce832c3481,POINT (-94.9196 29.22595),0e9b8683-5b93-46a0-bda3-b2690a01e603,POINT (-94.91963753 29.22631184),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
45,da340995-c164-45b9-b06c-98bac8cf5c45,POINT (-94.91994 29.22577),cb27928f-7269-4484-aecc-a7e27a89cae3,POINT (-94.91995156 29.22591497),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
46,918f9e9f-7aed-4b78-b5bf-2937f77f4d54,POINT (-94.92009 29.22568),f5311cf0-eb87-4098-bc81-4cec4cc55102,POINT (-94.92011581 29.22580393),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
47,cf05218f-e799-4846-84b6-fd58b67fbf7b,POINT (-94.92025 29.22558),d61f1a24-d033-47fb-9cac-823a1ac67669,POINT (-94.92029842 29.22586463),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
48,7e76d3e4-0128-4aa4-97ec-118c781761b5,POINT (-94.9204 29.22549),2e520d00-562a-4c82-a655-9408e40a40c9,POINT (-94.92042976 29.22561682),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
49,3049be45-a785-4bfb-9814-3f52572dd4c0,POINT (-94.92056 29.22539),bfa4bda6-0d52-4749-bc9b-14bfaeb1dd4b,POINT (-94.92059037 29.22501607),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
50,9188f5e6-1aeb-4be5-9e1c-49e0e742ecb8,POINT (-94.92013 29.22497),9084f584-72b3-4c8b-ad6d-ce7dd61b13ee,POINT (-94.92010483 29.22483518),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
51,2d409297-54ec-4d74-ab4e-e1cc4608322f,POINT (-94.91983 29.22515),64421eed-2b77-43f1-96a9-d99b5d9114de,POINT (-94.91983723 29.22499962),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
52,6028915c-4783-4024-b2de-0c3b51c5857d,POINT (-94.91967 29.22525),0e9b8683-5b93-46a0-bda3-b2690a01e603,POINT (-94.91963753 29.22631184),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
53,5251754e-84ed-434f-8fa2-e67ab5335b28,POINT (-94.91952 29.22534),b85a522a-9439-4daa-8abc-43010867813c,POINT (-94.91953486 29.22519026),655ae679-a718-4895-b29d-65acf441e3bf,POINT (-94.91054062 29.22761695)
